duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
5937422.0,5937422.0,5827246.0,61.0,21.0,3411510.0,3477438.0,68246.2298850575,40466.9861111111,39.2426207873,33087.592561216,13.0,3411510.0,25592.3362068965,229622.699635114,3678673.0,3678673.0,3678673.0,0.0,3411510.0,3411510.0,3411510.0,0.0,BROWSING
4936507.0,4936411.0,4914100.0,78.0,1.0,4220016.0,4246821.0,133416.513513514,69212.676056338,22.2829624267,19703.2030948199,1.0,4220016.0,45289.0550458716,405082.566364616,4774333.0,4774333.0,4774333.0,0.0,4220016.0,4220016.0,4220016.0,0.0,BROWSING
3040403.0,3040403.0,3015136.0,6.0,11.0,2910543.0,2936857.0,86868.6571428571,91367.7575757576,23.0232636923,30727.8344351061,2.0,2910543.0,44063.8115942029,350214.625547626,3012257.0,3012257.0,3012257.0,0.0,2910543.0,2910543.0,2910543.0,0.0,BROWSING
2780601.0,2757202.0,2758490.0,76.0,1.0,2452663.0,2477847.0,86162.5625,42438.3076923077,35.6038137079,31640.2820829022,1.0,2452663.0,28373.4795918367,248051.930116478,2528402.0,2528402.0,2528402.0,0.0,2452663.0,2452663.0,2452663.0,0.0,BROWSING
2620494.0,2620494.0,223021.0,69.0,0.0,2397890.0,46005.0,163780.875,3780.0169491526,29.383772678,26927.747211022,0.0,2369915.0,34480.1842105263,271603.592842864,2620494.0,2620494.0,2620494.0,0.0,2369915.0,2369915.0,2369915.0,0.0,BROWSING
1960508.0,1958540.0,1937109.0,242.0,0.0,1620504.0,1844741.0,130569.333333333,39532.8367346939,33.6647440357,33348.4994705454,0.0,1620504.0,30161.6615384615,201932.230340464,1880942.0,1880942.0,1880942.0,0.0,1620504.0,1620504.0,1620504.0,0.0,BROWSING
2713756.0,2713756.0,2655640.0,5.0,9.0,2230430.0,2173346.0,123352.545454545,132782.0,16.2136905455,23478.1608958211,3.0,2173346.0,63110.6046511628,332137.474078103,2600717.0,2600717.0,2600717.0,0.0,2173346.0,2173346.0,2173346.0,0.0,BROWSING
2299138.0,2234384.0,2271946.0,3.0,1.0,1881502.0,1881876.0,57291.8974358974,50487.6888888889,37.4053232124,27290.6628484241,1.0,1856445.0,27048.6823529412,201230.024673004,2208304.0,2208304.0,2208304.0,0.0,1856445.0,1856445.0,1856445.0,0.0,BROWSING
3078910.0,3077582.0,3047895.0,127.0,1.0,1962982.0,1962880.0,96174.4375,44172.3913043478,33.4533974686,18045.0224267679,1.0,1962314.0,30185.3921568627,195534.083527815,2714991.0,2714991.0,2714991.0,0.0,1962314.0,1962314.0,1962314.0,0.0,BROWSING
2442271.0,2440016.0,2420793.0,76.0,1.0,1294185.0,1318113.0,110909.818181818,62071.6153846154,25.7956631348,20837.9823533097,1.0,1294185.0,39391.4677419355,173023.599235197,1941409.0,1941409.0,1941409.0,0.0,1294185.0,1294185.0,1294185.0,0.0,BROWSING
3848578.0,3848465.0,3823371.0,46.0,1.0,3531305.0,3758205.0,274890.357142857,127445.7,11.9524665994,10368.2451024768,1.0,3531305.0,85523.9555555556,526199.031075801,3780570.0,3780570.0,3780570.0,0.0,3531305.0,3531305.0,3531305.0,0.0,BROWSING
1238960.0,1238574.0,1216352.0,110.0,1.0,923257.0,1154318.0,72857.2941176471,40545.0666666667,39.5492994124,31956.641053787,1.0,923257.0,25811.6666666667,135527.028095888,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
2039935.0,2039935.0,2018584.0,54.0,5.0,1810587.0,1834547.0,107365.0,69606.3448275862,24.5105848961,19773.6692590695,2.0,1810587.0,41631.3265306123,258267.347693471,1971353.0,1971353.0,1971353.0,0.0,1810587.0,1810587.0,1810587.0,0.0,BROWSING
8117474.0,8117474.0,7999235.0,87.0,0.0,2476868.0,2611368.0,197987.170731707,216195.540540541,9.855282567,5266.7861948187,0.0,2476868.0,102752.835443038,303583.963910545,2742795.0,2742795.0,2742795.0,0.0,2476868.0,2476868.0,2476868.0,0.0,BROWSING
1301699.0,1299749.0,1277661.0,117.0,0.0,1001494.0,1224294.0,118159.0,49140.8076923077,29.9608434822,26349.409502504,0.0,1001494.0,34255.2368421053,164421.092498094,1251189.0,1251189.0,1251189.0,0.0,1001494.0,1001494.0,1001494.0,0.0,BROWSING
2267989.0,2236233.0,2244940.0,82.0,1.0,1694740.0,1926155.0,149082.2,86343.8461538462,18.9595275815,14474.056091101,1.0,1694740.0,53999.7380952381,263604.325445336,2236233.0,2236233.0,2236233.0,0.0,1694740.0,1694740.0,1694740.0,0.0,BROWSING
6880101.0,6880101.0,6745993.0,48.0,14.0,2021997.0,2170725.0,176412.846153846,217612.677419355,10.464962651,5126.523578651,10.0,2021997.0,96902.8309859155,263126.680683739,2291825.0,2291825.0,2291825.0,0.0,2021997.0,2021997.0,2021997.0,0.0,BROWSING
5032337.0,4968155.0,5007100.0,7.0,2.0,2110652.0,2070421.0,191082.884615385,116444.186046512,14.1087530505,6113.6605120047,1.0,2044674.0,71890.5285714286,284058.072185148,3096020.0,3096020.0,3096020.0,0.0,2044674.0,2044674.0,2044674.0,0.0,BROWSING
813306.0,812285.0,788590.0,38.0,1.0,495467.0,736340.0,90253.8888888889,34286.5217391304,41.8046836,36437.6999554903,1.0,495467.0,24645.6363636364,92197.1007869547,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
